STATSSA_Area_Code,Description,Main_Code
2011-799030012,Mabopane Unit C,2011-799030
2011-799030017,Mabopane Unit D,2011-799030
2011-799030005,Mabopane Unit E,2011-799030
2011-799030016,Mabopane Unit S,2011-799030
2011-799030013,Mabopane X,2011-799030
2011-986079001,Mabotagale SP,2011-986079
2011-987068001,Mabotsha SP,2011-987068
2011-588038001,Mabukata SP,2011-588038
2011-982076001,Mabula SP,2011-982076
2011-295063001,Mabula SP,2011-295063
2011-665004002,Mabule SP,2011-665004
2011-965119001,Mabulo SP,2011-965119
2011-575087001,Mabululwane SP,2011-575087
2011-291173001,Mabulwini SP,2011-291173
2011-961074001,Mabumuleng SP,2011-961074
2011-585024001,Mabundeni SP,2011-585024
2011-590032001,Mabungu SP,2011-590032
2011-286012001,Mabutyana,2011-286012
2011-797032018,Mabuya Park,2011-797032
2011-297119001,Mabuya SP,2011-297119
2011-598062001,Mabuyana SP,2011-598062
2011-538022001,Mabuyeni SP,2011-538022
2011-576045001,Mabuzela SP,2011-576045
2011-968021001,Mabvuka Jazz SP,2011-968021
2011-962005001,Mabyepelong SP,2011-962005
2011-594029001,Macabazini SP,2011-594029
2011-576033001,Macanco SP,2011-576033
2011-285011001,Macangceni SP,2011-285011
2011-199037002,Macassar SP,2011-199037
2011-589065001,Macekane SP,2011-589065
2011-580191001,Macekaneni SP,2011-580191
2011-542129001,Macela SP,2011-542129
2011-294455001,Macelweni SP,2011-294455
2011-296205001,Machamsholo SP,2011-296205
2011-589068001,Machanca SP,2011-589068
2011-529028002,Machanca SP1,2011-529028
2011-529028001,Machanca SP2,2011-529028
2011-298089001,Mache Mgxoboshane SP,2011-298089
2011-295058001,Machekong SP,2011-295058
2011-966223001,Machele SP,2011-966223
2011-296109004,Macheleni,2011-296109
2011-271492001,Machelesini SP,2011-271492
2011-962084001,Machetela,2011-962084
2011-295268001,Machi SP,2011-295268
2011-290244001,Machibi SP,2011-290244
2011-284177001,Machibini A SP,2011-284177
2011-284241001,Machibini B SP,2011-284241
2011-281014001,Machibini SP,2011-281014
2011-580018001,Machibini SP,2011-580018
2011-294192001,Machibini SP,2011-294192
2011-586014001,Machibini SP,2011-586014
2011-276048001,Machibini SP,2011-276048
2011-296012001,Machibini SP,2011-296012
2011-293080001,Machibini SP1,2011-293080
2011-293080002,Machibini SP2,2011-293080
2011-982108001,Machikiri SP,2011-982108
2011-974010004,Machoane,2011-974010
2011-598206001,Machunwini SP,2011-598206
2011-274023001,Macibi SP,2011-274023
2011-276034001,Macibini SP2,2011-276034
2011-270171003,Macireni,2011-270171
2011-797011050,Mackenzie Park,2011-797011
2011-797028019,Mackenzieville,2011-797028
2011-260016001,Macleantown SP,2011-260016
2011-286181005,Maclear SP,2011-286181
2011-294014001,Macombeni SP,2011-294014
2011-294269001,Macosa SP,2011-294269
2011-284265001,Macubeni SP,2011-284265
2011-284209001,Macwhereni SP,2011-284209
2011-968067008,Madabani,2011-968067
2011-297357001,Madada SP,2011-297357
2011-297195001,Madadana SP,2011-297195
2011-965113007,Madadani,2011-965113
2011-524009007,Madadeni A,2011-524009
2011-524009006,Madadeni B,2011-524009
2011-524009002,Madadeni C,2011-524009
2011-524009003,Madadeni D,2011-524009
2011-524009011,Madadeni E,2011-524009
2011-524009010,Madadeni F,2011-524009
2011-524009005,Madadeni G,2011-524009
2011-524009016,Madadeni H,2011-524009
2011-524009004,Madadeni J,2011-524009
2011-524009001,Madadeni K,2011-524009
2011-524009015,Madadeni L,2011-524009
2011-524009013,Madadeni M,2011-524009
2011-524009014,Madadeni N,2011-524009
2011-524009012,Madadeni P,2011-524009
2011-524009009,Madadeni R,2011-524009
2011-524009008,Madadeni SP,2011-524009
2011-293217001,Madadeni SP,2011-293217
2011-296125001,Madadiyela SP,2011-296125
2011-542016001,Madaka SP,2011-542016
2011-287120005,Madakana,2011-287120
2011-506022001,Madakana SP,2011-506022
2011-287075001,Madakana SP,2011-287075
2011-598140001,Madakeni SP,2011-598140
2011-270467001,Madakeni SP,2011-270467
2011-291190001,Madakeni SP,2011-291190
2011-581062001,Madakwadunuse SP,2011-581062
2011-589133001,Madala SP,2011-589133
2011-966034005,Madandila,2011-966034
2011-876042001,Madaneni SP,2011-876042
2011-968039003,Madangani,2011-968039
2011-965006001,Madangani SP,2011-965006
2011-968058001,Madangani SP,2011-968058
2011-965102001,Madashishi SP,2011-965102
2011-281017007,Madeira,2011-281017
2011-964017001,Madeira SP,2011-964017
2011-987074001,Madetameng SP,2011-987074
2011-290120002,Madevana SP1,2011-290120
2011-290120001,Madevana SP2,2011-290120
2011-270154001,Madi SP,2011-270154
2011-271161006,Madiba,2011-271161
2011-297330001,Madiba A SP,2011-297330
2011-297301001,Madiba B SP,2011-297301
2011-297387001,Madiba C SP,2011-297387
2011-963011006,Madiba Park,2011-963011
2011-974043008,Madiba Park,2011-974043
2011-293136001,Madiba SP,2011-293136
2011-982119001,Madiba SP,2011-982119
2011-985030001,Madibaneng Ext,2011-985030
2011-985030002,Madibaneng SP,2011-985030
2011-667015001,Madibe-Magelelo SP,2011-667015
2011-961077001,Madibeng 2,2011-961077
2011-661002003,Madibeng NU,2011-661002
2011-360010001,Madibeng SP,2011-360010
2011-987160001,Madibeng SP,2011-987160
2011-665023001,Madibogo Pan SP,2011-665023
2011-665022003,Madibogo SP,2011-665022
2011-661027001,Madidi SP,2011-661027
2011-987159001,Madidimola SP,2011-987159
2011-973030001,Madiehe,2011-973030
2011-970065001,Madietane SP,2011-970065
2011-974050001,Madiga A SP,2011-974050
2011-974049001,Madiga B SP,2011-974049
2011-294257001,Madikaleni SP,2011-294257
2011-976015001,Madikeleng SP,2011-976015
2011-461010001,Madikgetla SP,2011-461010
2011-664092001,Madikwe SP,2011-664092
2011-967006001,Madimbo SP,2011-967006
2011-295139001,Madimong SP,2011-295139
2011-295120001,Madimonga SP,2011-295120
2011-360009001,Madingwane SP,2011-360009
2011-674058001,Madinonyane SP,2011-674058
2011-661019001,Madinyane SP,2011-661019
2011-965033002,Madipa A,2011-965033
2011-965033001,Madipa B,2011-965033
2011-672058001,Madipelesa SP,2011-672058
2011-985059001,Madisalane SP,2011-985059
2011-987103001,Madiseng SP,2011-987103
2011-976065001,Madisha-Ditoro SP,2011-976065
2011-672061001,Madithamage SP,2011-672061
2011-361028001,Maditlhareng SP,2011-361028
2011-542051001,Madiyane SP,2011-542051
2011-284239001,Madladleni SP,2011-284239
2011-569005001,Madlala SP,2011-569005
2011-295278001,Madlangeni SP,2011-295278
2011-296001001,Madlangeni SP,2011-296001
2011-538018001,Madlanghala SP,2011-538018
2011-598178001,Madlatu SP,2011-598178
2011-282237001,Madlotsheni SP,2011-282237
2011-968108001,Madobi,2011-968108
2011-292287001,Madoloni SP,2011-292287
2011-968067011,Madombidzha Zone 1,2011-968067
2011-968067009,Madombidzha Zone 2,2011-968067
2011-968067010,Madombidzha Zone 3,2011-968067
2011-582065001,Madonela SP,2011-582065
2011-966181001,Madonsi SP,2011-966181
2011-294194001,Madontsi SP,2011-294194
2011-872033001,Madubaduba SP,2011-872033
2011-273128001,Madubela SP,2011-273128
2011-599191001,Madudubala SP,2011-599191
2011-560040001,Madudubala SP,2011-560040
2011-293094001,Madukuda SP,2011-293094
2011-575041001,Maduladula A SP,2011-575041
2011-575026001,Maduladula B SP,2011-575026
2011-282291001,Maduma SP,2011-282291
2011-593053001,Maduna SP,2011-593053
2011-295232001,Maduna SP,2011-295232
2011-598091001,Maduna SP,2011-598091
2011-599169001,Madundube SP,2011-599169
2011-585014001,Madunjini SP,2011-585014
2011-669032001,Madutle SP,2011-669032
2011-968126001,Maduwa SP,2011-968126
2011-298145001,Madwaba,2011-298145
2011-298141001,Madwaba SP,2011-298141
2011-298095001,Madwakazana SP,2011-298095
2011-580004002,Madwaleni A SP,2011-580004
2011-580004001,Madwaleni B SP,2011-580004
2011-599085001,Madwaleni SP,2011-599085
2011-286096001,Madwaleni SP,2011-286096
2011-586018001,Madwaleni SP,2011-586018
2011-294208001,Madwaleni SP,2011-294208
2011-562012001,Madwaleni SP,2011-562012
2011-270336001,Madwaleni SP,2011-270336
2011-293314001,Madwaleni SP,2011-293314
2011-877077001,Madyembeni SP,2011-877077
2011-282339001,Madyoze SP,2011-282339
2011-968069016,Madzhiga,2011-968069
2011-965100003,Madzivhanani,2011-965100
2011-968064001,Madzuwa,2011-968064
2011-968097003,Madzwane,2011-968097
2011-968080002,Maebane,2011-968080
2011-986082001,Maebeng SP,2011-986082
2011-976038001,Maejane SP,2011-976038
2011-961054001,Maekgwe SP,2011-961054
2011-968067001,Maelula,2011-968067
2011-674014001,Maeng A SP,2011-674014
2011-674019001,Maeng B SP,2011-674019
2011-987142001,Maepa SP,2011-987142
2011-479008001,Mafahlaneng SP,2011-479008
2011-526008001,Mafahlawane SP,2011-526008
2011-294422001,Mafakathini SP,2011-294422
2011-566022001,Mafakathini SP,2011-566022
2011-293221001,Mafamini SP,2011-293221
2011-987045001,Mafarafara SP,2011-987045
2011-962070001,Mafarana SP,2011-962070
2011-295207001,Mafa's Halt SP,2011-295207
2011-985128001,Mafatle SP,2011-985128
2011-877082001,Mafemani SP,2011-877082
2011-965106002,Mafhohoni A SP,2011-965106
2011-965106001,Mafhohoni B SP,2011-965106
2011-965106003,Mafhohoni C SP,2011-965106
2011-662032001,Mafika SP,2011-662032
2011-667020001,Mafikeng Airport,2011-667020
2011-667020007,Mafikeng CBD,2011-667020
2011-667020002,Mafikeng Industrial,2011-667020
2011-667002001,Mafikeng NU,2011-667002
2011-667020009,Mafikeng Provincial Hospital,2011-667020
2011-472052001,Mafikeng SP,2011-472052
2011-983010001,Mafisheng SP,2011-983010
2011-561009001,Mafithini SP,2011-561009
2011-575045001,Mafitleng A SP,2011-575045
2011-575023001,Mafitleng B SP,2011-575023
2011-575020001,Mafitleng SP,2011-575020
2011-869012001,Mafred,2011-869012
2011-295050001,Mafube Mission SP,2011-295050
2011-479003001,Mafube NU,2011-479003
2011-965080001,Mafukani SP,2011-965080
2011-860041001,Mafumulo SP,2011-860041
2011-287123003,Mafusin,2011-287123
2011-284141001,Mafusini A SP,2011-284141
2011-284188001,Mafusini B SP,2011-284188
2011-271461001,Mafusini SP,2011-271461
2011-298120001,Mafusini SP,2011-298120
2011-286144001,Mafusini SP,2011-286144
2011-292064001,Mafusini SP,2011-292064
2011-291169001,Mafusini SP,2011-291169
2011-293064002,Mafusini SP1,2011-293064
2011-293064001,Mafusini SP2,2011-293064
2011-293064003,Mafusini SP3,2011-293064
2011-293118001,Mafuta Nozamile SP,2011-293118
2011-982056001,Magabaneng SP,2011-982056
2011-987058001,Magabaneng SP,2011-987058
2011-985028001,Magabaneng SP,2011-985028
2011-575024001,Magabeni A SP,2011-575024
2011-575040001,Magabeni B SP,2011-575040
2011-575031001,Magabeni C SP,2011-575031
2011-599192001,Magabeni SP,2011-599192
2011-978009001,Magadimela SP,2011-978009
2011-287121001,Magadla A SP,2011-287121
2011-287086001,Magadla B SP,2011-287086
2011-575095001,Magaga SP,2011-575095
2011-982051001,Magagamatala SP,2011-982051
2011-797031052,Magagula Heights,2011-797031
2011-984052001,Magakadimeng SP,2011-984052
2011-987018001,Magakala SP,2011-987018
2011-986063001,Magakala SP,2011-986063
2011-575080001,Magala SP,2011-575080
2011-287017001,Magalagaleni SP,2011-287017
2011-271159001,Magalakangqa SP,2011-271159
2011-664024003,Magalane,2011-664024
2011-663002001,Magalieberg Nature Reserve,2011-663002
2011-661002008,Magaliesberg Nature Reserve,2011-661002
2011-662010005,Magaliesberg Nature Reserve A,2011-662010
2011-662010004,Magaliesberg Nature Reserve B,2011-662010
2011-799035005,Magaliesberg Protected Natural Environment,2011-799035
2011-763006001,Magaliesburg SP,2011-763006
2011-799035042,Magalieskruin,2011-799035
2011-799035044,Magaliesmoot AH,2011-799035
2011-798013010,Magaliessig,2011-798013
2011-872027002,Maganagobuswa SP,2011-872027
2011-672001001,Maganeng SP,2011-672001
2011-297367001,Magangane SP,2011-297367
2011-571071001,Maganganguzi SP,2011-571071
2011-968094010,Magangeni,2011-968094
2011-598032001,Magangxosini SP,2011-598032
2011-294445001,Maganyeni SP,2011-294445
2011-385003001,Magareng NU,2011-385003
2011-976075002,Magatle SP,2011-976075
2011-599002007,Magaweni,2011-599002
2011-295025001,Magayazidlele SP,2011-295025
2011-291191001,Magcakeni SP,2011-291191
2011-293252001,Magcakeni SP,2011-293252
2011-292087001,Magcakeni SP,2011-292087
2011-293166001,Magcaki SP,2011-293166
2011-292193001,Magcakini,2011-292193
2011-297081001,Magcakini SP,2011-297081
2011-598109001,Magcakini SP,2011-598109
2011-296221001,Magcakini SP,2011-296221
2011-292191001,Magcakini SP1,2011-292191
2011-292191002,Magcakini SP2,2011-292191
2011-294390001,Magcalekeni SP,2011-294390
2011-284126001,Magebeni SP,2011-284126
2011-270560001,Magebula SP,2011-270560
2011-295116001,Magema SP,2011-295116
2011-295078001,Mageme SP,2011-295078
2011-283137001,Magemfaneni SP,2011-283137
2011-960069001,Mageva SP,2011-960069
2011-292315001,Mageza SP,2011-292315
2011-577012001,Maghobe SP,2011-577012
2011-598180001,Magikala SP,2011-598180
2011-987073001,Maglopi SP,2011-987073
2011-974044003,Magna Via Industrial,2011-974044
2011-985129001,Magnetite SP,2011-985129
2011-598068001,Magoagoeni SP,2011-598068
2011-797012001,Magoba Village,2011-797012
2011-361019001,Magobe SP,2011-361019
2011-360081001,Magobing SP,2011-360081
2011-968125001,Magobo SP,2011-968125
2011-962065002,Magoboya SP,2011-962065
2011-506004001,Magog SP,2011-506004
2011-876043001,Magogeni SP,2011-876043
2011-667033001,Magogoe SP,2011-667033
2011-667040001,Magogoe Tlhabologo SP,2011-667040
2011-672049001,Magogong SP,2011-672049
2011-360074001,Magojaneng SP,2011-360074
2011-974113001,Magokobo,2011-974113
2011-872043001,Magola SP,2011-872043
2011-985097001,Magolaneng SP,2011-985097
2011-542105001,Magologolo SP,2011-542105
2011-966040001,Magomani SP,2011-966040
2011-282058001,Magomeni SP,2011-282058
2011-294425001,Magomeni SP,2011-294425
2011-284380001,Magomeni SP,2011-284380
2011-664024001,Magong SP,2011-664024
2011-575043001,Magongoloza SP,2011-575043
2011-294103001,Magontsini SP,2011-294103
2011-296045001,Magontsini SP,2011-296045
2011-982099005,Magope,2011-982099
2011-293306001,Magoqoza SP,2011-293306
2011-985073001,Magoreng SP,2011-985073
2011-968130005,Magoro,2011-968130
2011-985131001,Magorong SP,2011-985131
2011-296035002,Magotsini,2011-296035
2011-986064001,Magotwaneng SP,2011-986064
2011-582079001,Magovini SP,2011-582079
2011-292187001,Magozeni SP,2011-292187
2011-287095001,Magozeni SP,2011-287095
2011-297203001,Magqabasini SP,2011-297203
2011-290004001,Magqabesi SP,2011-290004
2011-598048001,Magqagqeni SP,2011-598048
2011-298069001,Magqagqeni SP,2011-298069
2011-293051001,Magqagqeni SP1,2011-293051
2011-293051002,Magqagqeni SP2,2011-293051
2011-284127001,Magqaqaleni SP,2011-284127
2011-274086001,Magqazeni SP,2011-274086
2011-273105001,Magqobhokeni SP,2011-273105
2011-284136001,Magqoleni SP,2011-284136
2011-294105001,Magqongweni SP,2011-294105
2011-293228001,Magqubeni SP,2011-293228
2011-579030001,Magudu SP,2011-579030
2011-876051001,Magudu SP,2011-876051
2011-583037001,Magugu SP,2011-583037
2011-985071001,Magukubu SP,2011-985071
2011-968105002,Magulule,2011-968105
2011-291132001,Magumbini SP,2011-291132
2011-297064001,Magusheni SP,2011-297064
2011-580153001,Magutshwa SP,2011-580153
2011-293214001,Magutwa SP,2011-293214
2011-286146001,Magutyubeni SP,2011-286146
2011-966030001,Maguvhani,2011-966030
2011-968078003,Maguvhuni,2011-968078
2011-294345001,Maguzane SP,2011-294345
2011-295158001,Maguzen SP,2011-295158
2011-575098001,Maguzini SP,2011-575098
2011-290315001,Magwa SP1,2011-290315
2011-290315002,Magwa SP2,2011-290315
2011-360111001,Magwagwe SP,2011-360111
2011-276054001,Magwalala SP,2011-276054
2011-290196001,Magwambu SP,2011-290196
2011-987115001,Magwareng SP,2011-987115
2011-560066001,Magwaza SP,2011-560066
2011-588040001,Magwetshana SP,2011-588040
2011-271373002,Magwexeni,2011-271373
2011-287119001,Magwiji SP,2011-287119
2011-276025001,Magxagxeni SP,2011-276025
2011-295238001,Magxeni A SP,2011-295238
2011-295226001,Magxeni B SP,2011-295226
2011-296208001,Magxeni SP,2011-296208
2011-293007001,Magxeni SP,2011-293007
2011-985026001,Mahabaneng SP,2011-985026
2011-966018001,Mahagala,2011-966018
2011-297360001,Mahaha SP,2011-297360
2011-963004001,Mahale  SP,2011-963004
2011-295246001,Mahaleng SP,2011-295246
2011-292070001,Mahane SP,2011-292070
2011-286014001,Mahaneng SP,2011-286014
2011-295157001,Mahangu A SP,2011-295157
2011-295027001,Mahangu B SP,2011-295027
2011-295144001,Mahareng SP,2011-295144
2011-286209001,Mahasana Sp,2011-286209
2011-580072001,Mahashem SP,2011-580072
2011-968105005,Mahatlani,2011-968105
2011-598141001,Mahawini SP,2011-598141
2011-361015001,Maheane SP,2011-361015
2011-298015001,Mahedeni,2011-298015
2011-597027001,Mahehle SP,2011-597027
2011-590009001,Mahele SP,2011-590009
2011-966205003,Mahematshena,2011-966205
2011-961006001,Mahembeni SP,2011-961006
2011-286071001,Mahemeng SP1,2011-286071
2011-286071002,Mahemeng SP2,2011-286071
2011-286070001,Mahemeny SP,2011-286070
2011-965096001,Maheni SP,2011-965096
2011-542080001,Maheze SP,2011-542080
2011-982072002,Mahlaba,2011-982072
2011-576005001,Mahlaba SP,2011-576005
2011-287034001,Mahlabaneng SP,2011-287034
2011-986054001,Mahlabaphooko SP,2011-986054
2011-982069001,Mahlabatheng,2011-982069
2011-505007001,Mahlabathini SP,2011-505007
2011-593040001,Mahlabathini SP,2011-593040
2011-567007001,Mahlabathini SP,2011-567007
2011-599028001,Mahlabathini SP,2011-599028
2011-287120002,Mahlabatini,2011-287120
2011-581055001,Mahlabatini SP,2011-581055
2011-987161001,Mahlagari SP,2011-987161
2011-987126001,Mahlageng SP,2011-987126
2011-986012001,Mahlahlaneng SP,2011-986012
2011-587014001,Mahlahuva SP,2011-587014
2011-985043001,Mahlakane Soleng SP,2011-985043
2011-295280001,Mahlake SP,2011-295280
2011-985009001,Mahlakole SP,2011-985009
2011-582092001,Mahlakwe SP,2011-582092
2011-985020001,Mahlalaneng SP,2011-985020
2011-504050001,Mahlangweni SP,2011-504050
2011-986105001,Mahlanyea,2011-986105
2011-976082001,Mahlareng,2011-976082
2011-960040001,Mahlathi SP,2011-960040
2011-542065001,Mahlathi SP,2011-542065
2011-287129002,Mahlathini,2011-287129
2011-270373001,Mahlathini SP,2011-270373
2011-291180001,Mahlathini SP,2011-291180
2011-282111001,Mahlatini A SP,2011-282111
2011-282051001,Mahlatini B SP,2011-282051
2011-976006001,Mahlatsani SP,2011-976006
2011-474002004,Mahlatswetsa SP,2011-474002
2011-282073001,Mahlengele SP,2011-282073
2011-295193001,Mahlobathini SP,2011-295193
2011-578040001,Mahloni Sp,2011-578040
2011-578035001,Mahlosani SP,2011-578035
2011-986090001,Mahluakgomo,2011-986090
2011-282105001,Mahlubini A SP,2011-282105
2011-282192001,Mahlubini SP,2011-282192
2011-287106001,Mahlubini SP,2011-287106
2011-504043001,Mahlubini SP,2011-504043
2011-505017001,Mahlubini SP,2011-505017
2011-582002001,Mahlungulu SP,2011-582002
2011-293089001,Mahlungulu SP,2011-293089
2011-565008001,Mahlutshini SP,2011-565008
2011-982007001,Mahlwareng SP,2011-982007
2011-598199001,Mahobe SP,2011-598199
2011-296064001,Mahobe SP,2011-296064
2011-292015001,Mahobeni SP,2011-292015
2011-968104003,Mahodlogwa,2011-968104
2011-599116025,Mahogany Ridge,2011-599116
2011-594032001,Mahoho SP,2011-594032
2011-295145001,Maholoholo SP,2011-295145
2011-968020001,Maholoni SP,2011-968020
2011-584013001,Mahongoza SP,2011-584013
2011-292008001,Mahoyana SP,2011-292008
2011-799046028,Mahube Valley,2011-799046
2011-799046001,Mahube Valley Ext 1,2011-799046
2011-799046027,Mahube Valley Ext 2,2011-799046
2011-799046026,Mahube Valley Ext 3,2011-799046
2011-874036001,Mahukube SP,2011-874036
2011-665018001,Mahukubung,2011-665018
2011-360116001,Mahukubung SP,2011-360116
2011-877138001,Mahukule A SP,2011-877138
2011-874002001,Mahukule A SP,2011-874002
2011-877140001,Mahukule B SP,2011-877140
2011-966025001,Mahunguhwi SP,2011-966025
2011-966171004,Mahunguni,2011-966171
2011-538032001,Mahunu SP,2011-538032
2011-874008001,Mahushu SP,2011-874008
2011-589041001,Mahuzu SP,2011-589041
2011-982120004,Mahwelereng SP,2011-982120
2011-982120002,Mahwelereng Zone 1,2011-982120
2011-982120001,Mahwelereng Zone 2,2011-982120
2011-974014001,Mahwibitswane SP,2011-974014
2011-294040012,Maiden Farm,2011-294040
2011-599002006,Maidstone,2011-599002
2011-973030002,Maila,2011-973030
2011-985066001,Maila Modiketsi SP,2011-985066
2011-968111001,Maila SP,2011-968111
2011-985046001,Mailasegolo SP,2011-985046
2011-662013001,Maile B,2011-662013
2011-662013002,Maile C,2011-662013
2011-276138001,Maipase SP,2011-276138
2011-665016001,Maipeng SP,2011-665016
2011-360066001,Maipeng SP,2011-360066
2011-199041016,Maitland,2011-199041
2011-199041023,Maitland Garden Village,2011-199041
2011-565004001,Maitland SP,2011-565004
2011-293260001,Majaba SP,2011-293260
2011-661045001,Majakaneng SP,2011-661045
2011-271269001,Majamaneni SP,2011-271269
2011-274009001,Majamanini SP,2011-274009
2011-799004001,Majaneng SP,2011-799004
2011-666017001,Majaneng SP,2011-666017
2011-360058001,Majankeng SP,2011-360058
2011-297123001,Majavu SP,2011-297123
2011-297289001,Majela SP,2011-297289
2011-667042001,Majemantsho SP,2011-667042
2011-464006001,Majemasweu SP,2011-464006
2011-666013002,Majeng SP1,2011-666013
2011-666013001,Majeng SP2,2011-666013
2011-293081001,Majodini SP,2011-293081
2011-296006001,Majojweni SP,2011-296006
2011-270344001,Majola SP,2011-270344
2011-968108006,Majosi,2011-968108
2011-576027001,Majozi SP,2011-576027
2011-583076001,Majozini SP,2011-583076
2011-863003001,Majuba Power Station,2011-863003
2011-296232001,Majuba SP,2011-296232
2011-594071001,Majukujukwini SP,2011-594071
2011-977005004,Majuteng,2011-977005
2011-276046001,Majwareni SP,2011-276046
2011-294151001,Majwarheni A SP,2011-294151
2011-294180001,Majwarheni B SP,2011-294180
2011-862009009,Makaba Stand,2011-862009
2011-360085001,Makadibeng SP,2011-360085
2011-984017001,Makaepea SP,2011-984017
2011-274083001,Makahlane North SP,2011-274083
2011-274083002,Makahlane South SP,2011-274083
2011-966113001,Makahlule SP,2011-966113
2011-569017011,Makahyana,2011-569017
2011-674009001,Makala a Thutlwa SP,2011-674009
2011-964002001,Makalali Nature Reserve,2011-964002
2011-360054001,Makalaneng SP,2011-360054
2011-270261001,Makambi SP,2011-270261
2011-270453001,Makamiso Dinata SP,2011-270453
2011-264002001,Makana NU,2011-264002
2011-571070001,Makanda SP,2011-571070
2011-287030002,Makandini,2011-287030
2011-583021001,Makane SP,2011-583021
2011-966133001,Makanga,2011-966133
2011-661028005,Makanyaneng,2011-661028
2011-286052001,Makanyaneng SP,2011-286052
2011-799031001,Makanyaneng SP,2011-799031
2011-974086001,Makanye SP,2011-974086
2011-985042001,Makapa SP,2011-985042
2011-982124001,Makapan Valley SP,2011-982124
2011-660038001,Makapanstad SP,2011-660038
2011-974135001,Makatiane SP,2011-974135
2011-968029001,Makatu,2011-968029
2011-661037001,Makau,2011-661037
2011-286045001,Makautlane,2011-286045
2011-965014001,Makavhini SP,2011-965014
2011-874072001,Makawusi SP,2011-874072
2011-982081001,Makekeng SP,2011-982081
2011-974081001,Makeketela SP,2011-974081
2011-464005001,Makeleketle SP,2011-464005
2011-580185001,Makeme SP,2011-580185
2011-472051001,Makeneng SP,2011-472051
2011-286097001,Makeng SP,2011-286097
2011-360100001,Maketlele SP,2011-360100
2011-297285001,Makewini A SP,2011-297285
2011-297268001,Makewini B SP,2011-297268
2011-297260001,Makewini C SP,2011-297260
2011-667016001,Makgabana  (Madibe) SP,2011-667016
2011-969106001,Makgabeng SP,2011-969106
2011-661007001,Makgabetlwane SP,2011-661007
2011-961038001,Makgakabeng SP,2011-961038
2011-961014001,Makgakgapatse SP,2011-961014
2011-973033001,Makgalong SP,2011-973033
2011-872020002,Makgareng,2011-872020
2011-969025001,Makgari SP,2011-969025
2011-969024002,Makgato,2011-969024
2011-964015001,Makgaung SP,2011-964015
2011-987070001,Makgelane SP,2011-987070
2011-987124002,Makgemeng SP,2011-987124
2011-472060001,Makgemeng SP,2011-472060
2011-974109001,Makgeng SP,2011-974109
2011-286111002,Makgetheng,2011-286111
2011-974022001,Makgoba SP,2011-974022
2011-970057001,Makgobane SP,2011-970057
2011-974015002,Makgodu,2011-974015
2011-974040001,Makgofe SP,2011-974040
2011-667006001,Makgokgwane SP,2011-667006
2011-986050001,Makgonyane SP,2011-986050
2011-664052002,Makgope Chrome Mine,2011-664052
2011-664052003,Makgope SP,2011-664052
2011-984005001,Makgophong SP,2011-984005
2011-665008001,Makgori SP,2011-665008
2011-984013001,Makgukubjane SP,2011-984013
2011-985021003,Makgwale,2011-985021
2011-974101001,Makgwaneng SP,2011-974101
2011-669009001,Makgwaphana SP,2011-669009
2011-974035001,Makgwareng SP,2011-974035
2011-286082001,Makgwaseng SP,2011-286082
2011-968002001,Makhado NU,2011-968002
2011-270368001,Makhakha SP,2011-270368
2011-297093001,Makhal Endlovu SP,2011-297093
2011-472019001,Makhalaneng SP,2011-472019
2011-598231001,Makhaleni SP,2011-598231
2011-586017001,Makhambane SP,2011-586017
2011-598035001,Makhamleni SP,2011-598035
2011-542101001,Makhanyezi SP,2011-542101
2011-968108005,Makhasa,2011-968108
2011-966144001,Makhasa SP,2011-966144
2011-576008001,Makhasana SP,2011-576008
2011-583062001,Makhatini Flats,2011-583062
2011-582027001,Makhaya SP,2011-582027
2011-589006001,Makhehle SP1,2011-589006
2011-589006003,Makhehle SP2,2011-589006
2011-589006002,Makhehle SP3,2011-589006
2011-283205001,Makhikhi SP,2011-283205
2011-286077001,Makhoaseng SP,2011-286077
2011-295081001,Makhoaseng SP,2011-295081
2011-295044001,Makhoba SP,2011-295044
2011-293147001,Makhodi SP,2011-293147
2011-589005001,Makholokholo SP,2011-589005
2011-588042001,Makholwase SP,2011-588042
2011-567018001,Makholweni SP,2011-567018
2011-598087001,Makholweni SP,2011-598087
2011-295014001,Makholweni SP,2011-295014
2011-594069001,Makholweni SP,2011-594069
2011-271152001,Makhomazini SP,2011-271152
2011-968095002,Makhongele,2011-968095
2011-589123001,Makhoni SP,2011-589123
2011-590018002,Makhosaneni SP1,2011-590018
2011-590018001,Makhosaneni SP2,2011-590018
2011-581119001,Makhosini SP,2011-581119
2011-286065001,Makhotlana,2011-286065
2011-667049001,Makhubung SP,2011-667049
2011-985002001,Makhuduthamaga NU,2011-985002
2011-966006001,Makhumbe SP,2011-966006
2011-283191001,Makhumeni / Manga SP,2011-283191
2011-284129002,Makhumeni SP,2011-284129
2011-294298001,Makhumsheni SP,2011-294298
2011-961104001,Makhupe SP,2011-961104
2011-976055001,Makhushaneng SP,2011-976055
2011-985095001,Makhutso SP,2011-985095
2011-983028001,Makhutso SP,2011-983028
2011-966148001,Makhuvha A SP,2011-966148
2011-966073001,Makhuvha B SP,2011-966073
2011-965002001,Makhuya Nature Reserve,2011-965002
2011-282088001,Makhuzeni SP,2011-282088
2011-594041001,Makhuzeni SP,2011-594041
2011-292124001,Makhuzeni SP,2011-292124
2011-290224001,Makhwalweni SP1,2011-290224
