STATSSA_Area_Code,Description,Main_Code
2011-599194002,Amahlongwa,2011-599194
2011-561002001,aMahlongwa SP,2011-561002
2011-589128001,Amahubhu SP,2011-589128
2011-560044001,Amahwaqa SP,2011-560044
2011-503059001,Amahwaqa SP,2011-503059
2011-569006001,Amakasi,2011-569006
2011-589084001,Amakhilimba SP,2011-589084
2011-290303001,Amakwalo SP,2011-290303
2011-587020001,Amalala SP,2011-587020
2011-562043001,Amalanga SP,2011-562043
2011-798015132,Amalgam,2011-798015
2011-671005001,Amalia SH,2011-671005
2011-260113040,Amalinda,2011-260113
2011-260113031,Amalinda Nature Reserve,2011-260113
2011-260113037,Amalinda North,2011-260113
2011-274056001,Amambalu SP,2011-274056
2011-271506001,Amambalu SP,2011-271506
2011-284067001,Amamvala SP,2011-284067
2011-270291001,Amanaleni SP,2011-270291
2011-199016008,Amanda Glen(Bellville),2011-199016
2011-199017043,Amanda Glen(Durbanville),2011-199017
2011-799037017,Amandasig,2011-799037
2011-561004001,Amandawe SP,2011-561004
2011-367001001,Amandelboom,2011-367001
2011-977003001,Amandelbult Mine,2011-977003
2011-199020004,Amandelrug,2011-199020
2011-199020018,Amandelsig,2011-199020
2011-561013001,Amangamazi SP,2011-561013
2011-594003001,Amangwane SP,2011-594003
2011-571074001,Amangwane SP,2011-571074
2011-297077001,Amantshangase A/a A SP,2011-297077
2011-297105001,Amantshangase A/a B SP,2011-297105
2011-297068001,Amantshangase A/a C SP,2011-297068
2011-297074001,Amantshangase A/a D SP,2011-297074
2011-297036001,Amantshangase A/a E SP,2011-297036
2011-297098001,Amantshangase A/a F SP,2011-297098
2011-297058001,Amantshangase A/a G SP,2011-297058
2011-571045001,Amanzana SP,2011-571045
2011-599002011,Amanzimnyama,2011-599002
2011-599173001,Amanzimtoti SP,2011-599173
2011-284116001,Amanzolo SP,2011-284116
2011-297320001,Amaqeda SP,2011-297320
2011-281049001,Amaqolomba SP,2011-281049
2011-284150001,Amaqwati SP,2011-284150
2011-598157001,Amaroma SP,2011-598157
2011-597007001,Amashaka SP,2011-597007
2011-593066001,Amatata SP,2011-593066
2011-542043001,Amatholamgele SP,2011-542043
2011-589138001,Amatikulu SP,2011-589138
2011-599037004,Amatikwe,2011-599037
