,municipality
6251,4743 Matatiele Bertievale Queen's Mercy
6252,4743 Matatiele Diahosville Queen's Mercy
6253,4744 Matatiele Mzongwana Maluti
6254,4750 Senqu  Magadla
6255,4751 Matatiele Nyaniso Magadla
6256,4752 Umzimvubu Rolweni Magadla
6257,4753 Elundini Sigoga Magadla
6258,4770 Elundini  Mount Fletcher
6259,4770 Elundini Dludlu Mount Fletcher
6260,4770 Elundini Mohwabatsana Mount Fletcher
6261,4770 Elundini Phirintsho Mount Fletcher
6262,4771 Elundini Tokwana Mount Fletcher
6263,4772 Elundini Forster's Pride Mount Fletcher
6264,4773 Elundini Fletcherville Mount Fletcher
6265,4774 Elundini Setabataba Mount Fletcher
6266,4776 Elundini Farview Mount Fletcher
6267,4777 Senqu Zingcuka Mount Fletcher
6268,4778 Elundini Gxaku Mount Fletcher
6269,4780 Elundini Katkop Mount Fletcher
6270,4781 Elundini Charfred Mount Fletcher
6271,4786 Elundini Tinaruste Mount Fletcher
6272,4788 Matatiele Nkaus Queen's Mercy
6273,4789 Elundini Tsatsana Mount Fletcher
6274,4790 Elundini Mangoloaneng Mount Fletcher
6275,4791 Elundini Seqhobong Mount Fletcher
6276,4800 Mbizana  Bizana
6277,4800 Mbizana  Makwantini
6278,4800 Mbizana Fort Donald Bizana
6279,4800 Mbizana Gumzana Bizana
6280,4800 Mbizana Highview Bizana
6281,4800 Mbizana Kwacitwayo Bizana
6282,4800 Mbizana Lugwijini Bizana
6283,4800 Mhlontlo Mpetsheni Bizana
6284,4800 Mbizana Mzamba Bizana
6285,4800 Mbizana Ngongozayo Bizana
6286,4800 Mbizana Nomlacu Bizana
6287,4800 Mbizana Ntabengadlinkomo Bizana
6288,4800 Mbhashe Ntangeni Bizana
6289,4800 Mbizana Ntlamvukazi Bizana
6290,4800 Mbizana Ntlozelo Bizana
6291,4800 Mbizana Ntsingisi Bizana
6292,4801 Mbizana  Redoubt
6293,4802 Mbizana Magusheni Bizana
6294,4803 Mbizana Mjozi Bizana
6295,4804 Mbizana Envis Bizana
6296,4810 Qaukeni  Flagstaff
6297,4810 Qaukeni Bukazi Flagstaff
6298,4810 Qaukeni Bumazi Flagstaff
6299,4810 Qaukeni Cefeni Flagstaff
6300,4810 Qaukeni Hlabati Flagstaff
6301,4810 Qaukeni Hlwahlwazi Flagstaff
6302,4810 Mbizana Kwabipa Flagstaff
6303,4810 Qaukeni Kwakanyayo Flagstaff
6304,4810 Qaukeni Madada Flagstaff
6305,4810 Qaukeni Manquzu Flagstaff
6306,4810 Qaukeni Marashu Flagstaff
6307,4810 Qaukeni Matshetsha Flagstaff
6308,4810 Qaukeni Mcetheni Flagstaff
6309,4810 Qaukeni Mgodini Flagstaff
6310,4810 Qaukeni Mkamela Flagstaff
6311,4810 Nyandeni Mseleni Flagstaff
6312,4810 Qaukeni Mtontsasa Flagstaff
6313,4810 Qaukeni Mxokozweni Flagstaff
6314,4810 Ntabankulu Nkozo Flagstaff
6315,4810 Mhlontlo Ntlenzi Flagstaff
6316,4810 Qaukeni Ntola Flagstaff
6317,4810 Qaukeni Rheederspos Flagstaff
6318,4810 Qaukeni Rocky Valley Flagstaff
6319,4810 Qaukeni Swani Ridge Flagstaff
6320,4810 Nyandeni Tonti Flagstaff
6321,4810 Qaukeni Twazi Flagstaff
6322,4811 Qaukeni Holy Cross Flagstaff
6323,4812 Ntabankulu Mfundisweni Flagstaff
6324,4813 Port St Johns Bungeni Flagstaff
6325,4339 eThekwini Metro Parkgate Verulam
6326,4339 eThekwini Metro Redcliffe Verulam
6327,4339 eThekwini Metro Riet River Verulam
6328,4339 eThekwini Metro Rietrivier Verulam
6329,4339 eThekwini Metro Riyadh Verulam
6330,4339 eThekwini Metro Sanaa Verulam
6331,4339 Mkhomazi Wilderness Area South Ridge Verulam
6332,4339 eThekwini Metro Suriya Heights Verulam
6333,4339 eThekwini Metro Temple Valley Verulam
6334,4339 eThekwini Metro Trenance Park Verulam
6335,4339 eThekwini Metro Umdloti Heights Verulam
6336,4339 eThekwini Metro Valdin Heights Verulam
6337,4339 eThekwini Metro Waterloo Verulam
6338,4340 eThekwini Metro  Verulam
6339,4340 eThekwini Metro Buffelsdraai Verulam
6340,4340 eThekwini Metro Dawn Crest Verulam
6341,4340 eThekwini Metro Emthembeni Verulam
6342,4340 eThekwini Metro Hazelmere Verulam
6343,4340 eThekwini Metro Osindisweni Hospital Verulam
6344,4340 eThekwini Metro Somaria's Store Verulam
6345,4340 eThekwini Metro Umdloti Heights Verulam
6346,4341 Ndwedwe Geqindlebe Ndwedwe
6347,4342 Ndwedwe  Ndwedwe
6348,4342 Ndwedwe Embuyeni Ndwedwe
6349,4342 Ndwedwe Ezimpondweni Ndwedwe
6350,4342 Ndwedwe Hlomanthethe Ndwedwe
6351,4342 Ndwedwe Isiminiya Ndwedwe
6352,4342 UPhongolo Mahlalela Ndwedwe
6353,4342 Ndwedwe Mdlokohlo Ndwedwe
6354,4342 Ndwedwe Nkumbanyuswa Ndwedwe
6355,4342 Ndwedwe Ntabaskop Ndwedwe
6356,4342 Richmond Ntabeni Ndwedwe
6357,4342 Ndwedwe Sonkombo Ndwedwe
6358,4342 Ingwe Thembeni Ndwedwe
6359,4342 Ndwedwe Umkhuza Ndwedwe
6360,4342 Jozini Umsunduze Ndwedwe
6361,4342 Ndwedwe Zubane Ndwedwe
6362,4343 eThekwini Metro Thafamasi Verulam
6363,4344 eThekwini Metro Amawotana Verulam
6364,4344 eThekwini Metro Canelands Verulam
6365,4345 eThekwini Metro Cottonlands Verulam
6366,4345 eThekwini Metro Missionlands Verulam
6367,4345 eThekwini Metro Mount Moreland Verulam
6368,4345 eThekwini Metro Oaklands Verulam
6369,4345 eThekwini Metro Ottawa Verulam
6370,4345 eThekwini Metro Parkgate Verulam
6371,4345 eThekwini Metro Redcliffe Verulam
6372,4345 eThekwini Metro Trenance Park Verulam
6373,4348 Ulundi  Ondini
6374,4349 Ndwedwe  Ezindlovini
6375,4350 eThekwini Metro Umdloti Beach Umhlanga Rocks
6376,4359 eThekwini Metro Kwamashu Durban
6377,4359 eThekwini Metro Kwamashu Hostel Kwamashu
6378,4359 eThekwini Metro Lindelani Kwamashu
6379,4359 eThekwini Metro Ntuzuma Kwamashu
6380,4359 eThekwini Metro Ntuzuma E Kwamashu
6381,4359 eThekwini Metro Ntuzuma G Kwamashu
6382,4359 eThekwini Metro Ntuzuma H Kwamashu
6383,4359 eThekwini Metro Qhakaza Kwamashu
6384,4359 eThekwini Metro Quarry Heights Kwamashu
6385,4359 eThekwini Metro Quarryhoogte Kwamashu
6386,4359 eThekwini Metro Richmond Farm Kwamashu
6387,4359 eThekwini Metro Shayamoya Kwamashu
6388,4359 eThekwini Metro Siyanda Kwamashu
6389,4360 eThekwini Metro Kwamashu Durban
6390,4360 eThekwini Metro Kwamashu Hostel Kwamashu
6391,4360 eThekwini Metro Ntuzuma Kwamashu
6392,4360 eThekwini Metro Ntuzuma H Kwamashu
6393,4361 eThekwini Metro Kwamthembeni Kwamashu
6394,4362 eThekwini Metro Sihlabelelo Durban
6395,4363 Endumeni  Thembalihle
6396,4364 eThekwini Metro Quarry Heights Kwamashu
6397,4364 eThekwini Metro Quarryhoogte Kwamashu
6398,4814 Qaukeni Mkambati Flagstaff
6399,4816 Ntabankulu  Ntabankulu
6400,4820 Qaukeni  Lusikisiki
6401,4820 Qaukeni Amanyati Lusikisiki
6402,4820 Qaukeni Bucele Lusikisiki
6403,4820 Qaukeni Buhlanyanga Lusikisiki
6404,4820 Qaukeni Cani Lusikisiki
6405,4820 Port St Johns Goqwana Lusikisiki
6406,4820 Qaukeni Lambase Lusikisiki
6407,4820 Sakhisizwe Ludakeni Lusikisiki
6408,4820 Qaukeni Ludonga Lusikisiki
6409,4820 Qaukeni Lutshaya Lusikisiki
6410,4820 Port St Johns Luzupu Lusikisiki
6411,4820 Qaukeni Mahlamvu Lusikisiki
6412,4820 Port St Johns Manteku Lusikisiki
6413,4820 Port St Johns Matombe Lusikisiki
6414,4820 Port St Johns Mbokazi Lusikisiki
6415,4820 Qaukeni Mbotyi Lusikisiki
6416,4820 Qaukeni Mbutu Lusikisiki
6417,4820 Qaukeni Mhlabobomvu Lusikisiki
6418,4820 Qaukeni Mount Bleak Lusikisiki
6419,4820 Port St Johns Mzintlavana Lusikisiki
6420,4820 Qaukeni Ndindini Lusikisiki
6421,4820 Qaukeni Ntsubane Lusikisiki
6422,4820 King Sabata Dalindyebo Qawukeni Lusikisiki
6423,4820 Qaukeni Rendezvous Lusikisiki
6424,4820 Qaukeni Sihlito Lusikisiki
6425,4380 eThekwini Metro Burbreeze Maidstone
6426,4380 eThekwini Metro Maidstone Tongaat
6427,4380 eThekwini Metro Newton Maidstone
6428,4381 eThekwini Metro  Shakashead
6429,4390 KwaDukuza  Compensations
6430,4390 KwaDukuza Umhlali Tongaat
6431,4391 KwaDukuza Salt Rock Umhlali
6432,4399 eThekwini Metro  Tongaat
6433,4399 eThekwini Metro  Desainagar
6434,4399 eThekwini Metro Amanzimyama Tongaat
6435,4399 KwaDukuza Ballito Tongaat
6436,4399 eThekwini Metro Bellgate Tongaat
6437,4399 eThekwini Metro Belvedere Tongaat
6438,4399 eThekwini Metro Brake Village Tongaat
6439,4399 eThekwini Metro Buffelsdale Tongaat
6440,4399 eThekwini Metro Burbreeze Maidstone
6441,4399 eThekwini Metro Casarina Tongaat
6442,4399 eThekwini Metro Chelmsford Heights Tongaat
6443,4399 eThekwini Metro Chettys Hill Tongaat
6444,4399 eThekwini Metro Drive Inn Tongaat
6445,4399 eThekwini Metro Emona Tongaat
6446,4399 uMlalazi Fairbreeze Tongaat
6447,4399 eThekwini Metro Flamingo Heights Tongaat
6448,4399 eThekwini Metro Frasers Tongaat
6449,4399 eThekwini Metro Gandhinagar Tongaat
6450,4399 eThekwini Metro Gandhi's Hill Tongaat
6451,4399 Ndwedwe Geqindlebe Ndwedwe
6452,4399 eThekwini Metro Hambanati Tongaat
6453,4399 eThekwini Metro Hambanati Tongaat
6454,4399 eThekwini Metro Hambanati Heights Tongaat
6455,4399 eThekwini Metro Havencrest Tongaat
6456,4399 eThekwini Metro High Street Tongaat
6457,4399 eThekwini Metro Hillview Tongaat
6458,4399 eThekwini Metro Jan Roz Tongaat
6459,4399 eThekwini Metro La Mercy Desainagar
6460,4399 eThekwini Metro Magaweni Tongaat
6461,4399 eThekwini Metro Maidstone Tongaat
6462,4399 eThekwini Metro Metcalfe Park Tongaat
6463,4399 eThekwini Metro Metha Park Tongaat
6464,4399 eThekwini Metro Mitchell Village Tongaat
6465,4399 eThekwini Metro Mithanagar Tongaat
6466,4399 Msunduzi Newtown Tongaat
6467,4399 eThekwini Metro Northdale Dam Tongaat
6468,4399 Ndwedwe Nsuze Tongaat
6469,4399 eThekwini Metro Ocean Drive In Tongaat
6470,4399 eThekwini Metro Plain Street Tongaat
6471,4399 eThekwini Metro Plein Straat Tongaat
6472,4399 eThekwini Metro Pottys Hill Maidstone
6473,4399 eThekwini Metro Rajkumar Tongaat
6474,4399 eThekwini Metro Sandfields Tongaat
6475,4399 eThekwini Metro Seatides Tongaat
6476,4399 eThekwini Metro Sundial Park Maidstone
6477,4399 eThekwini Metro Trurolands Tongaat
6478,4399 eThekwini Metro Vanrova Tongaat
6479,4399 eThekwini Metro Village Mews Tongaat
6480,4399 eThekwini Metro Village Park Tongaat
6481,4399 eThekwini Metro Watsonia Tongaat
6482,4399 eThekwini Metro Westbrook Tongaat
6483,4400 eThekwini Metro  Tongaat
6484,4400 eThekwini Metro Bellgate Tongaat
6485,4400 eThekwini Metro Brake Village Tongaat
6486,4400 uMlalazi Fairbreeze Tongaat
6487,4400 eThekwini Metro Gandhi's Hill Tongaat
6488,4400 eThekwini Metro Hambanati Tongaat
6489,4400 eThekwini Metro Hambanati Heights Tongaat
6490,4400 eThekwini Metro Hillview Tongaat
6491,4400 Msunduzi Newtown Tongaat
6492,4400 Ndwedwe Nsuze Tongaat
6493,4400 eThekwini Metro Village Mews Tongaat
6494,4400 eThekwini Metro Village Park Tongaat
6495,4400 eThekwini Metro Westbrook Tongaat
6496,4401 eThekwini Metro Buffelsdale Tongaat
6497,4402 eThekwini Metro Upper Tongaat Tongaat
6498,4403 eThekwini Metro Esidumbini Tongaat
6499,4404 eThekwini Metro Dolphin Coast Tongaat
6500,4405 eThekwini Metro  Desainagar
6501,4405 eThekwini Metro La Mercy Desainagar
6502,4405 eThekwini Metro Seatides Tongaat
6503,4406 eThekwini Metro Esigedleni Tongaat
6504,4406 eThekwini Metro Phambela Tongaat
6505,4406 eThekwini Metro Sundial Park Maidstone
6506,4418 KwaDukuza  Zimbali
6507,4420 KwaDukuza  Sheffield Beach
6508,4420 KwaDukuza Ballito Tongaat
6509,4420 KwaDukuza Salt Rock Umhlali
6510,4422 KwaDukuza Zimbali Lodge Zimbali
6511,4430 KwaDukuza  Shakaskraal
6512,4430 KwaDukuza Protea Heights Shakaskraal
6513,4430 KwaDukuza Protea Hoogte Shakaskraal
6514,4431 KwaDukuza  Etete
6515,4449 KwaDukuza  Kwadukuza
6516,4449 KwaDukuza  Stanger
6517,4449 KwaDukuza Blythedale Beach Stanger
6518,4449 KwaDukuza Bulwer Farm Stanger
6519,4449 KwaDukuza Doctorskop Stanger
6520,4449 Ndwedwe Doringkop Stanger
6521,4449 KwaDukuza Empungeni Stanger
6522,4449 KwaDukuza Glendale Stanger
6523,4449 KwaDukuza Glendale Estate Stanger
6524,4449 KwaDukuza Glenhills Stanger
6525,4240 Hibiscus Coast Kwa Tata Port Shepstone
6526,4240 Hlabisa Kwasithole Port Shepstone
6527,4240 Indaka Madlala Port Shepstone
6528,4240 Hibiscus Coast Magog Port Shepstone
6529,4240 Hibiscus Coast Marburg Port Shepstone
6530,4240 Hibiscus Coast Marburg Town Board Mcp Port Shepstone
6531,4240 Hibiscus Coast Mbango Valley Port Shepstone
6532,4240 Hibiscus Coast Melville Port Shepstone
6533,4240 Hibiscus Coast Mercury Drive Port Shepstone
6534,4240 Hibiscus Coast Merlewood Port Shepstone
6535,4240 Hibiscus Coast Oslo Beach Port Shepstone
6536,4240 Hibiscus Coast Palm Road Port Shepstone
6537,4240 Hibiscus Coast Pelican Road Port Shepstone
6538,4240 Hibiscus Coast Pollux Road Port Shepstone
6539,4240 Hibiscus Coast Protea Park Port Shepstone
6540,4240 Hibiscus Coast Rathboneville Port Shepstone
6541,4240 Hibiscus Coast Ridge Road Port Shepstone
6542,4240 Hibiscus Coast Rifle Road Port Shepstone
6543,4240 Hibiscus Coast Servus Road Port Shepstone
6544,4240 Hibiscus Coast Shelly Beach Drive-in Shelly Beach
6545,4240 Hibiscus Coast Stavenger Road Port Shepstone
6546,4240 Hibiscus Coast Technical College Port Shepstone
6547,4240 Hibiscus Coast Traffic Dept Port Shepstone
6548,4240 Hibiscus Coast Umzimkulu Mill Port Shepstone
6549,4240 Hibiscus Coast Victory Road Port Shepstone
6550,4240 Hibiscus Coast White City Port Shepstone
6551,4240 Hibiscus Coast Wimpy Crescent Port Shepstone
6552,4241 Hibiscus Coast Sea Park Port Shepstone
6553,4242 Hibiscus Coast Izotsha Port Shepstone
6554,4242 Ndwedwe Nzokhulayo Ndwedwe
6555,4243 Ezingoleni Plains Port Shepstone
6556,4244 Ezingoleni  Paddock
6557,4246 Umzumbe Mehlomnyama Port Shepstone
6558,4246 Jozini Oshabeni Mehlomnyama
6559,4246 Umzumbe Vusushaba Mehlomnyama
6560,4247 Hibiscus Coast Dweshula Port Shepstone
6561,4249 Hibiscus Coast Gamalakhe Port Shepstone
6562,4250 Hibiscus Coast Murchison Port Shepstone
6563,4251 Hibiscus Coast Aiken Street Port Shepstone
6564,4251 Hibiscus Coast Aikenstraat Port Shepstone
6565,4252 Hibiscus Coast  Marburg
6566,4253 Hibiscus Coast  Boboyi
6567,4254 Hibiscus Coast  Mcosela
6568,4255 Hibiscus Coast  Nodalane
6569,4256 Hibiscus Coast  Manthinta
6570,4258 Hibiscus Coast  Kwamadlala
6571,4260 Ezingoleni  Izingolweni
6572,4260 Ezingoleni Eden Store Izingolweni
6573,4260 Ezingoleni Gundrift Izingolweni
6574,4261 Ezingoleni Mpunzi Drift Izingolweni
6575,4265 Hibiscus Coast  Shelly Beach
6576,4265 Hibiscus Coast Golf Course Shelly Beach
6577,4265 Hibiscus Coast St Michaels On Sea Shelly Beach
6578,4270 Hibiscus Coast  Uvongo
6579,4270 Hibiscus Coast Bond Street Uvongo
6580,4270 Hibiscus Coast Colin Street Uvongo
6581,4270 Hibiscus Coast Edward Road Uvongo
6582,4275 Hibiscus Coast  Margate
6583,4275 Hibiscus Coast Emoyeni Margate
6584,4275 Hibiscus Coast Gay Ridge Margate
6585,4275 Hibiscus Coast Gcilima Margate
6586,4275 Hibiscus Coast Homestead Road Margate
6587,4275 Hibiscus Coast Kent Road Margate
6588,4275 Hibiscus Coast Ok Mall Margate
6589,4275 Hibiscus Coast Palm Beach Margate
6590,4275 Hibiscus Coast Sea Slopes Margate
6591,4275 Hibiscus Coast Trafalgar Margate
6592,4276 Hibiscus Coast Collis Road Manaba Beach
6593,4276 Hibiscus Coast Manaba Beach Margate
6594,4276 Hibiscus Coast Mitchell Ave Manaba Beach
6595,4276 Hibiscus Coast Red Cross Manaba Beach
6596,4277 Hibiscus Coast Southbroom Margate
6597,4278 Hibiscus Coast Gate Store Munster
6598,4278 Hibiscus Coast Glenmore Beach Munster
6599,4278 Hibiscus Coast Kwanzimakwe Munster
6600,4278 Hibiscus Coast Leisure Bay Munster
6601,4278 Hibiscus Coast Munster Margate
6602,4278 Hibiscus Coast Town Board Munster
6603,4280 Hibiscus Coast Village of Happiness Margate
6604,4449 KwaDukuza Groutville Stanger
6605,4449 KwaDukuza Highridge Stanger
6606,4449 KwaDukuza Hlanhlankosi Stanger
6607,4449 KwaDukuza Indian Village Stanger
6608,4449 KwaDukuza Khulakancane Stanger
6609,4449 KwaDukuza Larkfield Stanger
6610,4449 KwaDukuza Lindelani Stanger
6611,4449 KwaDukuza Mabhedwini Stanger
6612,4449 Vulamehlo Mbolombe Stanger
6613,4449 KwaDukuza Melville Stanger
6614,4449 eThekwini Metro Morningside Stanger
6615,4449 Msunduzi Newtown Stanger
6616,4449 KwaDukuza Northlands Park Stanger
6617,4449 eThekwini Metro Ocean View Stanger
6618,4449 KwaDukuza Oqadeni Stanger
6619,4449 KwaDukuza Prospect Farm Stanger
6620,4449 KwaDukuza Shakaville Stanger
6621,4449 KwaDukuza Sotsha Stanger
6622,4449 KwaDukuza Stanger Heights Stanger
6623,4449 KwaDukuza Stanger Manor Stanger
6624,4449 KwaDukuza Starkeville Stanger
6625,4281 Hibiscus Coast Marina Beach Margate
6626,4285 Hibiscus Coast  Ramsgate
6627,4286 Hibiscus Coast  Kwashaka
6628,4295 Hibiscus Coast  Port Edward
6629,4295 Hibiscus Coast Banners Rest Port Edward
6630,4300 eThekwini Metro Mount Edgecombe Phoenix
6631,4301 eThekwini Metro Atholton Mount Edgecombe
6632,4301 eThekwini Metro Country Club Mount Edgecombe
6633,4302 eThekwini Metro Mount Edgecombe Phoenix
6634,4309 eThekwini Metro Africa Inanda
6635,4309 eThekwini Metro Amaoti Phoenix
6636,4309 eThekwini Metro Amatikwe Inanda
6637,4309 Emnambithi-Ladysmith Besters Inanda
6638,4309 eThekwini Metro Bhambayi Inanda
6639,4309 eThekwini Metro Congo Inanda
6640,4309 eThekwini Metro Dube Village Inanda
6641,4309 eThekwini Metro Ekuphakameni Inanda
6642,4309 eThekwini Metro Emachobeni Inanda
6643,4309 eThekwini Metro Emapulazini Inanda
6644,4309 Ingwe Etafuleni Inanda
6645,4309 eThekwini Metro Ezimangweni Inanda
6646,4309 eThekwini Metro Holawola Inanda
6647,4309 eThekwini Metro Inanda Durban
6648,4309 eThekwini Metro Inanda Glebe Inanda
6649,4309 eThekwini Metro Mshayazafe Inanda
6650,4309 eThekwini Metro Mzomusha Inanda
6651,4309 Msunduzi Newtown Inanda
6652,4309 eThekwini Metro Newtown Section B Inanda
6653,4309 eThekwini Metro Newtown Section C Inanda
6654,4309 eThekwini Metro Ngoqokazi Inanda
6655,4309 eThekwini Metro Nhlungwana Inanda
6656,4309 eThekwini Metro Ohlange Inanda
6657,4309 eThekwini Metro Soweto Inanda
6658,4309 eThekwini Metro Stop 8 Inanda
6659,4309 eThekwini Metro Umzinyathi Inanda
6660,4310 eThekwini Metro Africa Inanda
6661,4310 eThekwini Metro Amatikwe Inanda
6662,4310 eThekwini Metro Bhambayi Inanda
6663,4310 eThekwini Metro Choboza Inanda
6664,4310 eThekwini Metro Congo Inanda
6665,4310 eThekwini Metro Dube Village Inanda
6666,4310 eThekwini Metro Egugwini Inanda
6667,4310 eThekwini Metro Ekumanazeni Inanda
6668,4310 eThekwini Metro Ekuphakameni Inanda
6669,4310 eThekwini Metro Emachobeni Inanda
6670,4310 eThekwini Metro Emapulazini Inanda
6671,4310 eThekwini Metro Esidonini Inanda
6672,4310 eThekwini Metro Ezimangweni Inanda
6673,4310 eThekwini Metro Inanda Durban
6674,4310 eThekwini Metro Inanda Glebe Inanda
6675,4310 eThekwini Metro Inkangala Inanda
6676,4310 eThekwini Metro Inkanyezi Yokusa Inanda
6677,4310 eThekwini Metro Khusane Inanda
6678,4310 eThekwini Metro Kwamthethwa Inanda
6679,4310 eThekwini Metro Kwangcolosi Inanda
6680,4310 eThekwini Metro Langalibalele Inanda
6681,4310 eThekwini Metro Langalibalele Phase 2 Inanda
6682,4310 eThekwini Metro Mbozamo Inanda
6683,4310 eThekwini Metro Mshayazafe Inanda
6684,4310 eThekwini Metro Mzomusha Inanda
6685,4310 Msunduzi Newtown Inanda
6686,4310 eThekwini Metro Newtown C Inanda
6687,4310 eThekwini Metro Newtown Section A Inanda
6688,4310 eThekwini Metro Newtown Section B Inanda
6689,4310 eThekwini Metro Newtown Section C Inanda
6690,4310 eThekwini Metro Ngonweni Inanda
6691,4310 eThekwini Metro Nhlungwana Inanda
6692,4310 eThekwini Metro Ohlange Inanda
6693,4310 eThekwini Metro Phola/mloshi Inanda
6694,4310 eThekwini Metro Senzokuhle Inanda
6695,4310 eThekwini Metro Stop 8 Inanda
6696,4319 eThekwini Metro  Umhlanga Rocks
6697,4319 eThekwini Metro Burnside Umhlanga Rocks
6698,4319 eThekwini Metro Herrwood Park Umhlanga Rocks
6699,4319 eThekwini Metro Prestondale Umhlanga Rocks
6700,4319 eThekwini Metro Somerset Park Umhlanga Rocks
6701,4319 eThekwini Metro Umdloti Beach Umhlanga Rocks
6702,4319 eThekwini Metro Umhlanga Manors Umhlanga Rocks
6703,4319 eThekwini Metro Umhlanga Ridge Umhlanga Rocks
6704,4319 eThekwini Metro Waterloo Verulam
6705,4319 eThekwini Metro Westridge Umhlanga Rocks
6706,4320 eThekwini Metro  Umhlanga Rocks
6707,4321 eThekwini Metro Gateway Umhlanga Rocks
6708,4339 eThekwini Metro  Verulam
6709,4339 eThekwini Metro Brindhaven Verulam
6710,4339 eThekwini Metro Canelands Verulam
6711,4339 eThekwini Metro Canelands Verulam
6712,4339 eThekwini Metro Charnwood Verulam
6713,4339 eThekwini Metro Coniston Verulam
6714,4339 eThekwini Metro Cordoba Gardens Verulam
6715,4339 eThekwini Metro Dawn Crest Verulam
6716,4339 eThekwini Metro Emthembeni Verulam
6717,4339 eThekwini Metro Everest Heights Verulam
6718,4339 eThekwini Metro Fairview Park Verulam
6719,4339 eThekwini Metro Grange Verulam
6720,4339 eThekwini Metro Hazelmere Verulam
6721,4339 eThekwini Metro Lindelani Verulam
6722,4339 eThekwini Metro Litchi Farm Verulam
6723,4339 Msunduzi Lotusville Verulam
6724,4339 eThekwini Metro Meadowlands Verulam
6725,4126 eThekwini Metro Lovu Winklespruit
6726,4126 Umzumbe Maqhikizana Doonside
6727,4126 eThekwini Metro Mnini Illovo Beach
6728,4126 eThekwini Metro Panorama Park Winklespruit
6729,4126 eThekwini Metro Rainbow Park Amanzimtoti
6730,4126 eThekwini Metro Ridge Road Amanzimtoti
6731,4126 eThekwini Metro Shulton Park Amanzimtoti
6732,4126 eThekwini Metro St Winifreds Amanzimtoti
6733,4126 eThekwini Metro Sunny Park Amanzimtoti
6734,4126 eThekwini Metro Thuthuka Amanzimtoti
6735,4126 eThekwini Metro Toti Heights Amanzimtoti
6736,4126 eThekwini Metro Umbogintwini Amanzimtoti
6737,4126 eThekwini Metro Umgababa Amanzimtoti
6738,4126 eThekwini Metro Warner Beach Amanzimtoti
6739,4126 eThekwini Metro Whitfield Park Amanzimtoti
6740,4126 eThekwini Metro Winklespruit Amanzimtoti
6741,4132 eThekwini Metro Montford Chatsworth
6742,4133 eThekwini Metro  Isipingo Beach
6743,4133 eThekwini Metro  Isipingo
6744,4133 eThekwini Metro Gijanyo Isipingo
6745,4133 eThekwini Metro Isipingo Hills Isipingo
6746,4133 eThekwini Metro Isipingo Rail Isipingo
6747,4133 eThekwini Metro Lotus Park Isipingo
6748,4133 eThekwini Metro Orient Hills Isipingo
6749,4133 eThekwini Metro Prospecton Isipingo
6750,4133 eThekwini Metro Reunion Isipingo
6751,4133 eThekwini Metro Swalestown Isipingo
6752,4133 eThekwini Metro Westmont Isipingo
6753,4134 eThekwini Metro The Ridge Shallcross
6754,4135 eThekwini Metro Doonside Amanzimtoti
6755,4136 eThekwini Metro Phola Shopping Centre Amanzimtoti
6756,4136 eThekwini Metro Royston Ridge Amanzimtoti
6757,4136 eThekwini Metro Sifiso Supermarket Amanzimtoti
6758,4137 eThekwini Metro Marine Terminal Durban
6759,4138 eThekwini Metro Chesterville Mayville
6760,4138 eThekwini Metro Clare Estate Dormerton
6761,4138 eThekwini Metro Ridgeview Gardens Mayville
6762,4139 eThekwini Metro Berthing Terminal Bluff
6763,4139 eThekwini Metro Pier 1 Bluff
6764,4139 eThekwini Metro Pier 2 Bluff
6765,4140 eThekwini Metro Warner Beach Amanzimtoti
6766,4141 eThekwini Metro  Seadoone
6767,4142 eThekwini Metro Bayview Mcp Chatsworth
6768,4142 eThekwini Metro Bottlebrush Chatsworth
6769,4142 eThekwini Metro Church On The Rock Chatsworth
6770,4142 eThekwini Metro Collins Tuck Shop Chatsworth
6771,4142 eThekwini Metro Demat Mariannhill
6772,4142 eThekwini Metro Demat 11 Chatsworth
6773,4142 eThekwini Metro Intake Chatsworth
6774,4142 eThekwini Metro Intutuka Chatsworth
6775,4142 eThekwini Metro Madiba Chatsworth
6776,4142 eThekwini Metro Montford Mcp Chatsworth
6777,4142 eThekwini Metro Naickers Farm Chatsworth
6778,4142 eThekwini Metro Pompeni Chatsworth
6779,4142 eThekwini Metro Silverglen Nature Reserve Chatsworth
6780,4142 eThekwini Metro Sunshine Chatsworth
6781,4142 eThekwini Metro Welbedacht Chatsworth
6782,4144 eThekwini Metro Umlazi Dx1 Umlazi
6783,4145 eThekwini Metro Lovu Winklespruit
6784,4145 eThekwini Metro Panorama Park Winklespruit
6785,4145 eThekwini Metro Winklespruit Amanzimtoti
6786,4146 eThekwini Metro Monta Vista Malvern
6787,4146 eThekwini Metro Monte Carlo Malvern
6788,4146 eThekwini Metro Seaglen Gardens Rossburgh
6789,4146 eThekwini Metro Tafta Park Malvern
6790,4147 eThekwini Metro Chiltern Heights Malvern
6791,4147 eThekwini Metro Glendale Gardens Queensburgh
6792,4147 eThekwini Metro Jura Street Malvern
6793,4147 eThekwini Metro Mulberry Park Pinetown
6794,4147 eThekwini Metro Nirvana Hills Northdene
6795,4147 eThekwini Metro Queensmead Malvern
6796,4147 eThekwini Metro Queensmead Industrial Area Queensburgh
6797,4147 eThekwini Metro Queensmead Industriele Gebied Queensburgh
6798,4147 eThekwini Metro Savannah Park Chatsworth
